label,text
0,야 에타 봤냐? 이번 학기 스마트콘텐츠전공 시간표 헬임
0,아 수강신청 망함 ㅠㅠ 님은 올클 성공?
0,오늘 점심 학식 ㄱ? 아님 정문 나가서 먹을래
0,교수님 과제 공지 올라온 거 봄? 분량 미쳤는데
0,안녕하세요! 이번 웹 자동화 테스트 팀플 조장 맡게 된 학생입니다.
0,팀원분들 이번 주 금요일 오후 6시에 줌 회의 가능하실까요?
0,저희 이번 프로젝트 파이썬이랑 셀레니움 써서 크롤링 돌리는 방향으로 가시죠.
0,제가 로그인 테스트 케이스 설계해 올게요.
0,깃허브에 코드 푸시했습니다! 확인 부탁드려요 ㅎㅎ
0,"안드로이드 런처 UI 디자인, 어르신들 쓰기 편하게 3x3 배열로 가는 거 맞죠?"
0,메타코딩 수업 포트폴리오 다들 어디까지 하셨어요?
0,레플릿이나 프레이머 써서 배포까지 끝내는 게 나을 듯
0,이거 코드 에러 뜨는데 해결 가능하신 분 ㅠㅠ
0,저 오늘 예비군 동원훈련이라 연락 안 될 수도 있습니다 ㅠㅠ
0,형 ISTQB 자격증 준비하심? 기출문제 구하기 빡세네요
0,다음 주 중간고사 실화냐... 공부 하나도 안 함
0,중도에 자리 있냐? 나 지금 학교 가는 중
0,야 오늘 자체 휴강 때릴까 비 오는데
0,"조교님, 혹시 이번 실습 과제 제출 기한 연장 가능할까요? ㅠㅠ"
0,이번 AI 융합대학원 브로슈어 보니까 프로젝트 지원 빵빵하더라
0,동연제 축제 준비팀 단톡방 맞나요? 소스코드 업데이트 확인했습니다!
0,해외봉사팀 물품 챙기셨나요? 보조배터리랑 마스크 수량 확인 부탁드려요.
0,피어선 장학금 신청서 내일 마감임!! 까먹지 말고 내라
0,야 출튀 성공함? 나 교수님한테 걸린 듯 아...
0,과제 너무 많아서 밤새야 할 듯. 핫식스 수혈 시급
0,일상 및 친구 (카페/디바이스)
0,지금 어디? 나 스벅 사이렌오더 시켜놓을게.
0,ㅇㅇ 아아 그란데 사이즈로 부탁. 10분 뒤 도착
0,오늘 투썸 갈래 아님 스페셜티 카페 찾아갈래?
0,친구 카페 개업한 지 4개월 됐는데 주말에 한번 팔아주러 가자
0,아침부터 코메다 커피 모닝세트 땡기네
0,야 내 애플워치 애플 로고에서 멈추고 안 켜짐;; 이거 어떡함?
0,잠실 지니어스바 예약 빡세냐? 수리 맡겨야 할 듯
0,아이폰 16 프로 맥스 케이스 추천 좀. 변색 안 되는 걸로
0,이번에 아이패드 프로 살까 에어 살까 존나 고민됨
0,애플 학생할인으로 사면 에어팟 주나? 알아봐야겠다
0,집에 스마트 조명 달았는데 개편함 ㅋㅋㅋ 모션 센서 쩔어
0,스마트 홈 구축하려고 홈킷 허브 알아보는 중
0,삼성 스마트싱스 스테이션 당근에 뜬 거 살까
0,디 오디너리 토너 다 썼네. 올영 세일 언제 함?
0,비타민 앰플 바르니까 피부 좀 좋아진 듯 ㅋㅋ
0,야 오늘 저녁에 피방 ㄱ? 롤 한판 하자
0,미안 나 오늘 알바 대타 뛰어야 함 ㅠㅠ
0,알바비 들어왔다!! 오늘 내가 고기 쏜다
0,아 통장 잔고 3천원 실화냐... 다음 주까지 버텨야 되는데
0,이번 달 넷플릭스 구독료 왜 나감? 아 해지하는 거 깜빡함
0,클링 AI 유료 구독 끊었는데 퀄리티 미쳤음 진짜
0,오늘 날씨 미쳤다 한강 가서 치맥 ㄱㄱ
0,야 나 오늘 머리 잘랐는데 망한 거 같음 사진 봐봐 ㅠㅠ
0,ㅋㅋㅋ 넌 그냥 모자 쓰고 다녀라
0,내일 뭐 입지? 얼어 죽어도 코트 입는다
0,취미 및 문화 (마라톤/영화/게임)
0,형 저 올해 춘천마라톤 풀코스 신청했습니다 ㅋㅋㅋ
0,미친 풀코스를 뛴다고? 난 10km도 헉헉대는데
0,서울레이스 2026 접수 언제부터인지 아는 사람?
0,이번에 마라톤 메달 거치대 하나 샀음 ㅋㅋ 정리하니까 뿌듯하네
0,스트라바 기록 보니까 오늘 페이스 좋았네. 러닝 크루 나갈 거?
0,이번 주말에 롯데시네마 월타 가서 영화 볼래?
0,너의 이름은 재개봉한다던데 보러 갈 파티원 구함 (1/4)
0,쇼생크탈출 넷플에 떴냐? 주말에 정주행해야지
0,마블 드라마 순서 어떻게 됨? 로키부터 보면 되나
0,오늘 분노의 질주 도쿄 드리프트 보면서 맥주 깐다
0,lm studio로 이미지 생성 모델 돌려봤는데 재밌네
0,컴피UI 써봄? 세팅하기 빡센데 결과물은 확실히 다름
0,Y2K 감성으로 3D 렌더링 프롬프트 짜는 중인데 팁 좀
0,오늘 LCK 결승전 폼 미쳤다 ㅋㅋㅋ 이거 역전하네
0,스팀 여름 할인 시작함!! 지갑 털릴 준비 완
0,요즘 할 게임 ㅈㄴ 없네 추천 좀 해봐라
0,어제 헬스장에서 하체 조졌더니 계단 못 내려가겠음 ㅋㅋㅋ
0,단백질 보충제 뭐 먹냐 신타6 딸기맛 괜찮?
0,나 오늘부터 진짜 다이어트한다 안 말려도 됨
0,저녁에 마라탕 먹을래? (다이어트 1일차)
0,마라탕에 꿔바로우 못 참지 당장 간다
0,야 오늘 유독 피곤하네 일찍 자야지
0,새벽 3시에 유튜브 알고리즘에 빠져서 아직도 못 잠 ㅠㅠ
0,쇼츠 보다가 2시간 순삭됨 하 내 인생
0,내일 1교시인데 망했다 그냥 알람 끄고 잔다
0,여행 및 가족
0,방학 때 나고야 여행 갈 사람? 비행기표 알아봄
0,나고야 가면 야바톤 돈까스랑 히츠마부시 무조건 먹어야 됨 ㅇㅇ
0,시라카와고 버스 투어 예약함? 고속버스닷컴에서 하면 된대
0,숙소는 금연룸에 트윈베드로 잡았어 확인해 봐
0,도코나메 도자기 마을 가서 사진 찍자 ㅋㅋㅋ
0,멘야 하나비 마제소바 본점에서 먹어보고 싶음 ㅠㅠ
0,돈키호테 털러 간다 캐리어 반 비워놓음 ㅋㅋㅋ
